"","WKT","nombre","nombre_ev","clasificac","patio_de_j","apadrinada","observacio","fuente_geo","fuente_ins","ubicacion","decreto","fecha_decr","ordenanza_","fecha_orde","boletin_of","fecha_bole","BARRIO","COMUNA","Fech_padri","Vig_padri","Alc_conven","nom_mapa","id_ev_pub","area","perimeter","DGEV_Padri","Mant_2017","TAREAS","ESTADO","SUP_TOTAL","Canil","Posta_aero"
"11","MULTIPOLYGON (((-58.3704159458538 -34.6007211135199,-58.3702794638752 -34.6018247161731,-58.3702799120482 -34.6018260689828,-58.3702811691302 -34.6018278732285,-58.3702823371769 -34.6018288659247,-58.3702836853918 -34.6018295882633,-58.3702853037091 -34.6018300403124,-58.3702869222262 -34.6018303120322,-58.3702885411428 -34.6018302230936,-58.370290160359 -34.6018298636612,-58.3702916899406 -34.6018292336669,-58.3702934901239 -34.60182788256,-58.3702947512008 -34.6018260802214,-58.370314366009 -34.6016554133321,-58.3704258911285 -34.6007548426375,-58.3704296142841 -34.6007223861622,-58.3704292558481 -34.6007212137501,-58.3704280886129 -34.6007194997382,-58.3704263812808 -34.6007182361414,-58.37042494295 -34.6007176940655,-58.3704234144868 -34.6007173322509,-58.3704218856248 -34.6007173310947,-58.3704202665304 -34.6007176003643,-58.3704189169361 -34.6007181403319,-58.3704176569756 -34.6007189508612,-58.3704166666149 -34.6007199419239,-58.3704159458538 -34.6007211135199)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ LAVALLE Y TUCUMAN","","","","","","","SAN NICOLAS",1,"","","","",265,159.822,0,"","","","",NA,"",""
"12","MULTIPOLYGON (((-58.3704443560243 -34.6005663222169,-58.3706809945555 -34.5996468208999,-58.3706670577947 -34.599644375942,-58.3704307796463 -34.6005631561871,-58.3704308682829 -34.6005643283952,-58.3704318549522 -34.6005666734234,-58.3704340113476 -34.600568478348,-58.3704367083376 -34.6005693820343,-58.3704397661561 -34.6005692941816,-58.3704424653396 -34.6005682142461,-58.3704443560243 -34.6005663222169)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ TUCUMAN Y VIAMONTE","","","","","","","SAN NICOLAS",1,"","","","",266,135.903,9990,"","","","",NA,"",""
"13","MULTIPOLYGON (((-58.3707369023142 -34.5994292054273,-58.3709733352775 -34.5985271951692,-58.370963085259 -34.5985252940044,-58.3709214725868 -34.598665829525,-58.3707230534325 -34.5994286540009,-58.3707230521403 -34.5994298261413,-58.3707234105749 -34.5994309985528,-58.3707239490716 -34.5994319907705,-58.3707248472951 -34.5994329832594,-58.3707259256801 -34.59943370539,-58.3707271841273 -34.5994342473269,-58.370728532705 -34.5994346090022,-58.3707298815808 -34.5994347001836,-58.3707313206865 -34.5994345209388,-58.3707326700592 -34.5994341612969,-58.3707338398668 -34.5994335310256,-58.3707369023142 -34.5994292054273)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ VIAMONTE Y CORDOBA, AV.","","","","","","","SAN NICOLAS",1,"","","","",267,133.9,10,"","","","",NA,"",""
"14","MULTIPOLYGON (((-58.3610018993065 -34.6177794860532,-58.3615664966009 -34.6178222443467,-58.3615769574797 -34.6177295710822,-58.3610120995927 -34.6176863772204,-58.3610018993065 -34.6177794860532)),((-58.3610249555474 -34.6176281017865,-58.3615776461996 -34.6176661193152,-58.3615884399787 -34.6175734084343,-58.3610356508054 -34.6175290335856,-58.3610249555474 -34.6176281017865)))","Eladia Blázquez","BLÁZQUEZ ELADIA","CANTERO CENTRAL","NO","","ESPACIOS VERDES - Redigitalizado por USIG en Abril de 2014 - Asignación de nombre según Ley en Diciembre de 2016","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/ JUANA MANSO y AIME PAINE","Decreto N.º 634/16","15/12/2016","LEY N.º 5684","17/11/2016","5030","21/12/2016","PUERTO MADERO",1,"","","","Eladia Blázquez",270,1081.952,9900,"","","","",NA,"",""
"15","MULTIPOLYGON (((-58.362737143348 -34.6176403958065,-58.3621503551604 -34.617595101849,-58.3621378976464 -34.6177063544976,-58.3627245966585 -34.6177516484419,-58.362737143348 -34.6176403958065)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",271,669.875,0,"","","","",NA,"",""
"16","MULTIPOLYGON (((-58.3621292593888 -34.6177833478059,-58.362116620392 -34.6178958626014,-58.3625534750855 -34.6179295828466,-58.3627031403897 -34.6179415171587,-58.362715687137 -34.6178302645291,-58.3621292593888 -34.6177833478059)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",272,672.653,20,"","","","",NA,"",""
"17","MULTIPOLYGON (((-58.358664128136 -34.6172933736714,-58.3583800000706 -34.6172716719012,-58.3596112237841 -34.6175103919981,-58.3596240444429 -34.6173991399138,-58.3594980343303 -34.6173899267711,-58.3592561782044 -34.617371869372,-58.3590948614687 -34.6173271912449,-58.358664128136 -34.6172933736714)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",273,764.413,10,"","","","",NA,"",""
"18","MULTIPOLYGON (((-58.3596020401624 -34.6175900896,-58.3583605621299 -34.6173503688337,-58.3586268986482 -34.6174293098909,-58.3593010156042 -34.6176283350444,-58.3595243728891 -34.6176945245192,-58.3595388514854 -34.6176974220255,-58.3595892193328 -34.6177014318427,-58.3596020401624 -34.6175900896)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",274,792.093,9960,"","","","",NA,"",""
"19","MULTIPOLYGON (((-58.3600791516847 -34.617436040195,-58.3600668713343 -34.6175472927815,-58.3606540161776 -34.6175939495246,-58.3606667466107 -34.6174817956111,-58.3604059124904 -34.6174619213281,-58.3600791516847 -34.617436040195)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",275,672.092,9980,"","","","",NA,"",""
"20","MULTIPOLYGON (((-58.3600581383443 -34.617626630139,-58.3600458578262 -34.6177379728843,-58.360316496651 -34.617758487317,-58.3605100539705 -34.6177734365746,-58.3606324666091 -34.6177827358266,-58.3606451964385 -34.617671122905,-58.3600581383443 -34.617626630139)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",276,670.979,40,"","","","",NA,"",""
"21","MULTIPOLYGON (((-58.3595196488039 -34.6116109709563,-58.3596253397327 -34.6116184609142,-58.3596314701925 -34.611557144086,-58.3595955658244 -34.6115503261728,-58.359526424655 -34.6115513228598,-58.3595198050695 -34.6116081724809,-58.3595196488039 -34.6116109709563)),((-58.3593740593701 -34.6117757533957,-58.3594543330359 -34.6117911407741,-58.3594863873734 -34.6115518999891,-58.359412028224 -34.6115529718264,-58.3593729314829 -34.6115907935982,-58.359350176631 -34.6117400566616,-58.3593740593701 -34.6117757533957)),((-58.3613331355103 -34.6117189690783,-58.3616322962201 -34.6117448673221,-58.3616736077895 -34.6116909168712,-58.3614637916566 -34.6116690562964,-58.3605687623471 -34.6116032503735,-58.3599862223973 -34.6115637854041,-58.3599762075473 -34.6116168510775,-58.3613331355103 -34.6117189690783)),((-58.3595586384753 -34.6118111346316,-58.3596123656614 -34.6118111800408,-58.3596174232685 -34.6117575373363,-58.3595146125372 -34.6117512303291,-58.3595101767617 -34.6118018452281,-58.3595586384753 -34.6118111346316)),((-58.3599613357806 -34.6117719992558,-58.3599516410226 -34.6118386941908,-58.3599553390268 -34.611838577673,-58.3615090153359 -34.6119287312419,-58.3615395596338 -34.6118755566958,-58.3613176830331 -34.611852594457,-58.3599613357806 -34.6117719992558)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES - Redigitaliado por USIG en Abril de 2014","USIG","USIG","VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",277,2396.827,0,"","","","",NA,"",""
"22","MULTIPOLYGON (((-58.3622671233379 -34.6117604740413,-58.3622671249666 -34.6117591215747,-58.3622669465969 -34.6117578591245,-58.3622667682272 -34.6117565966743,-58.3622664999125 -34.6117553341501,-58.3622661416529 -34.6117540715518,-58.3622656934484 -34.6117528088795,-58.362265155299 -34.6117515461331,-58.362264527096 -34.6117503734771,-58.3622638089481 -34.6117492007471,-58.3622630906917 -34.6117481181815,-58.3622621925454 -34.6117470354678,-58.3622612943991 -34.6117459527541,-58.3622603061994 -34.6117449601308,-58.3622592280547 -34.6117439674334,-58.3622581498014 -34.6117430649004,-58.3622569814947 -34.6117422524578,-58.3622557232431 -34.6117414399412,-58.3622544648828 -34.611740717589,-58.3622531165777 -34.6117399951627,-58.3622517680554 -34.6117394530653,-58.3622503296968 -34.6117388207294,-58.362248891121 -34.6117383687223,-58.3622474525452 -34.6117379167152,-58.3622459239159 -34.6117375547985,-58.362244395178 -34.6117372830462,-58.3622428663315 -34.6117371014583,-58.3622416971561 -34.6117370103311,-58.3618579340051 -34.6117103656925,-58.3618557747825 -34.6117108147304,-58.3618536155599 -34.6117112637682,-58.3618515461732 -34.6117118030448,-58.3618494766773 -34.6117124324859,-58.3618474070724 -34.6117131520913,-58.3618454273033 -34.6117139619354,-58.3618434475342 -34.6117147717796,-58.3618415576009 -34.6117156718625,-58.3618396676676 -34.6117165719453,-58.3618377775161 -34.611717652357,-58.3618360673634 -34.611718642753,-58.3618342670477 -34.6117198134034,-58.3618326466217 -34.6117209842026,-58.3618310260866 -34.6117222451661,-58.3618294055515 -34.6117235061297,-58.3618279647971 -34.6117248574063,-58.3618265239336 -34.6117262988474,-58.3618251731241 -34.6117276501985,-58.3618238220963 -34.6117291818783,-58.3618226509583 -34.6117307137069,-58.3618214798203 -34.6117322455355,-58.3618203985181 -34.6117338676029,-58.3618194071608 -34.6117354897446,-58.3618185057483 -34.6117371119607,-58.3618176941717 -34.6117388244156,-58.3618167923229 -34.6117408072895,-58.3616821073777 -34.6119943286501,-58.3616819267228 -34.6119949596522,-58.3616817461771 -34.6119955004899,-58.3616817454126 -34.6119961316409,-58.3616817446481 -34.6119967627919,-58.3616819238832 -34.6119973039274,-58.3616821030091 -34.6119979352274,-58.3616823721894 -34.6119984764374,-58.3616828212601 -34.6119990177964,-58.3616832704401 -34.6119994689909,-58.36168371962 -34.6119999201854,-58.3616843487996 -34.6120002813644,-58.3616849779792 -34.6120006425435,-58.3616856073772 -34.6120008233936,-58.3616863266112 -34.6120010944827,-58.3616870460637 -34.6120011852429,-58.3622128210977 -34.6120386770474,-58.3622136306049 -34.6120386777141,-58.3622151596741 -34.6120386789735,-58.3622167787972 -34.6120385901425,-58.3622183080837 -34.612038411073,-58.3622198374789 -34.6120381418391,-58.3622212769288 -34.612037872531,-58.3622228065412 -34.6120374229682,-58.3622242462083 -34.6120369733312,-58.3622256858754 -34.6120365236942,-58.3622270358145 -34.6120358936543,-58.3622283857535 -34.6120352636144,-58.362229645856 -34.6120345433359,-58.3622309059584 -34.6120338230574,-58.3622320763328 -34.612032922376,-58.3622332465985 -34.612032111859,-58.3622343271362 -34.6120311209391,-58.3622353176201 -34.6120302201095,-58.3622362183759 -34.6120291388769,-58.3622371191317 -34.6120280576444,-58.3622379299422 -34.6120269763378,-58.3622386508075 -34.6120258949571,-58.3622392818361 -34.612024723338,-58.3622398230281 -34.6120234614803,-58.3622402741663 -34.612022289713,-58.362240725413 -34.6120210277812,-58.3622409967693 -34.6120197657014,-58.3622411781803 -34.6120185035475,-58.3622413595914 -34.6120172413935,-58.3622413611119 -34.6120159790915,-58.3622413627411 -34.612014626625,-58.3622411843712 -34.6120133641748,-58.3622410060014 -34.6120121017246,-58.3622407376863 -34.6120108392004,-58.3622402893722 -34.6120096666924,-58.3622398411667 -34.6120084040201,-58.3622393029074 -34.6120072314381,-58.3622386747029 -34.612006058782,-58.3622379565532 -34.6120048860519,-58.3622371483496 -34.6120038034121,-58.3622354446043 -34.6119994741121,-58.3622337407506 -34.6119952349765,-58.362232216896 -34.6119909058245,-58.3622306931502 -34.6119864865081,-58.3622292592411 -34.6119821574302,-58.3622280053312 -34.611977738336,-58.3622267514214 -34.6119733192418,-58.3622255874569 -34.6119689002216,-58.3622245134377 -34.6119644812755,-58.3622235293638 -34.6119600624034,-58.3622226353437 -34.611955553441,-58.3622218311603 -34.6119511347171,-58.3622211170308 -34.6119466259028,-58.3622204928465 -34.6119421171626,-58.3622198686622 -34.6119376084224,-58.3622194243683 -34.6119330998303,-58.3622190700196 -34.6119285913123,-58.362218805616 -34.6119240828684,-58.3622185412125 -34.6119195744245,-58.3622184566992 -34.6119150661287,-58.362218462131 -34.611910557907,-58.3622184675628 -34.6119060496853,-58.3622186528849 -34.6119015416118,-58.3622188382069 -34.6118970335382,-58.3622192035277 -34.6118924354484,-58.3622195686312 -34.6118880176874,-58.3622201137335 -34.6118835099102,-58.3622206588357 -34.6118790021329,-58.3622212938829 -34.6118744944297,-58.3622221088201 -34.6118699868747,-58.3622229236487 -34.6118655694841,-58.3622238285309 -34.6118610620031,-58.3622248232493 -34.6118566447606,-58.3622259978578 -34.6118522276663,-58.3622271724662 -34.6118478105719,-58.3622284370194 -34.6118433935516,-58.3622297915176 -34.6118389766053,-58.362231235852 -34.6118346498976,-58.3622326801863 -34.6118303231898,-58.3622343044104 -34.6118259966301,-58.3622360185794 -34.6118216701445,-58.3622378225846 -34.6118174338973,-58.3622396266983 -34.6118131074857,-58.3622416104845 -34.611808961551,-58.3622435943792 -34.6118047254519,-58.36224566811 -34.6118005795912,-58.3622478317857 -34.6117964338046,-58.362250085406 -34.6117922880919,-58.3622524289712 -34.6117881424533,-58.3622548623725 -34.6117840870531,-58.3622573856099 -34.6117801218913,-58.3622599089557 -34.6117760665651,-58.3622608100342 -34.611774714839,-58.3622618006233 -34.6117737238447,-58.362262701376 -34.611772642612,-58.3622635121837 -34.6117715613051,-58.362264233155 -34.6117703897598,-58.3622648641813 -34.6117692181405,-58.3622654052627 -34.6117680464471,-58.3622659464526 -34.6117667845892,-58.3622663077526 -34.6117655225833,-58.3622666690526 -34.6117642605774,-58.3622669404077 -34.6117629984974,-58.3622670318728 -34.6117617362693,-58.3622671233379 -34.6117604740413)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA","","","","","","","PUERTO MADERO",1,"","","","",278,1472.683,0,"","","","",NA,"",""
