"","WKT","id","codigo","nomoficial","alt_izqini","alt_izqfin","alt_derini","alt_derfin","nomanter","nom_mapa","tipo_c","long","sentido","cod_sent","observa","bicisenda","lado_ciclo","recorrid_x","ciclo_obse","tooltip_bi","red_jerarq","red_tp","ffcc","tipo_ffcc","comuna","com_par","com_impar","barrio","barrio_par","barrio_imp"
"427","LINESTRING (-58.3608192980119 -34.6320221040221,-58.3612348562686 -34.632189355498,-58.3623567155867 -34.6326293074432)",17973,23064,"VILLAFAÑE, WENCESLAO",402,500,401,499,"ALEGRIA","WENCESLAO VILLAFAÑE","CALLE",156.25,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"428","LINESTRING (-58.3633066739477 -34.631989520364,-58.3630852425975 -34.6321341287684,-58.3623567155867 -34.6326293074432)",17974,19069,"RODRIGUEZ, MARTIN",402,500,401,499,"","MARTIN RODRIGUEZ","CALLE",112.37,"CRECIENTE",1,"","Ciclovías","","","Construcción Año 2015","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"429","LINESTRING (-58.3688515529588 -34.6325321848149,-58.3700995651198 -34.6326545544758,-58.3703633010244 -34.6326878546327)",17979,7086,"GUALEGUAY",1102,1200,1101,1199,"","GUALEGUAY","CALLE",139.71,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"430","LINESTRING (-58.3855250774948 -34.6311183085266,-58.3854203149055 -34.6328193853664)",18015,20038,"SAN JOSE",1902,2100,1901,2099,"","SAN JOSE","CALLE",188.96,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"431","LINESTRING (-58.3641982611742 -34.6329232148106,-58.3633066739477 -34.631989520364)",18051,2085,"BLANES, JUAN MANUEL",502,600,501,599,"PLANES, JUAN M. - TUNUYAN","JUAN MANUEL BLANES","CALLE",131.96,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"432","LINESTRING (-58.3589855991325 -34.6322913268004,-58.3586068508523 -34.6329373465055,-58.3585018333588 -34.6331151453323)",18130,14013,"NECOCHEA",902,1000,901,999,"","NECOCHEA","CALLE",101.59,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"433","LINESTRING (-58.3866064039243 -34.6324002032291,-58.3865232510815 -34.6331398060705)",18134,20003,"SAENZ PEÑA, LUIS, PRES.",2008,2100,2001,2099,"LOREA-SAENZ PENA","PRES.LUIS SAENZ PEÑA","CALLE",82.4,"DECRECIENTE",-1,"corrección numeración 20-1","-","","","","","VÍA LOCAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"434","LINESTRING (-58.3641982611742 -34.6329232148106,-58.3637911186295 -34.6331918295528)",18162,17011,"PALOS",152,200,151,199,"","PALOS","CALLE",47.77,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"435","LINESTRING (-58.3585018333588 -34.6331151453323,-58.3590098678665 -34.6333225545848)",18203,17088,"PINZON",302,340,301,339,"","PINZON","CALLE",51.96,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"436","LINESTRING (-58.3570342727794 -34.6325271093829,-58.3566257993978 -34.6332198579994,-58.3565547497195 -34.6333482477551)",18214,2114,"BRIN, Ministro",1002,1100,1001,1099,"SANTA TERESA","MINISTRO BRIN","CALLE",101.16,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"437","LINESTRING (-58.3675140134475 -34.6333631215712,-58.3685865541726 -34.6334610727682)",18243,5080,"ARZOBISPO ESPINOSA",1002,1100,1001,1099,"DIAMANTE","ARZOBISPO ESPINOSA","CALLE",98.95,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"438","LINESTRING (-58.3688515529588 -34.6325321848149,-58.3685865541726 -34.6334610727682)",18244,8010,"HERNANDARIAS",402,500,401,499,"","HERNANDARIAS","CALLE",105.87,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"439","LINESTRING (-58.3637911186295 -34.6331918295528,-58.3645044100774 -34.6334715670025)",18247,23064,"VILLAFAÑE, WENCESLAO",602,700,601,699,"ALEGRIA","WENCESLAO VILLAFAÑE","CALLE",72.4,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"440","LINESTRING (-58.3623567155867 -34.6326293074432,-58.3619770214629 -34.6333026610212,-58.3618731295029 -34.6334712382419)",18249,19069,"RODRIGUEZ, MARTIN",502,600,501,599,"","MARTIN RODRIGUEZ","CALLE",103.4,"CRECIENTE",1,"","Ciclovías","","","Construcción Año 2015","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"441","LINESTRING (-58.38890636229 -34.6325409953229,-58.3887669123631 -34.6337580347702)",18317,20106,"SOLIS",2102,2200,2101,2199,"","SOLIS","CALLE",135.62,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"442","LINESTRING (-58.3585018333588 -34.6331151453323,-58.358136915987 -34.6337325131256,-58.3580172879184 -34.6339415668096)",18368,14013,"NECOCHEA",1002,1100,1001,1099,"","NECOCHEA","CALLE",101.88,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"443","LINESTRING (-58.3637911186295 -34.6331918295528,-58.3632758388581 -34.6340426837291)",18392,17011,"PALOS",202,300,201,299,"","PALOS","CALLE",105.56,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"444","LINESTRING (-58.3580172879184 -34.6339415668096,-58.3585754848194 -34.6341680353991)",18439,2110,"BRANDSEN",302,350,301,349,"","BRANDSEN","CALLE",57.02,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"445","LINESTRING (-58.3548967923006 -34.6337339721833,-58.3560818192557 -34.6342031930482)",18454,20118,"SUAREZ",102,200,101,199,"","SUAREZ","CALLE",120.49,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"446","LINESTRING (-58.3565547497195 -34.6333482477551,-58.3560818192557 -34.6342031930482)",18455,2114,"BRIN, Ministro",1102,1200,1101,1199,"SANTA TERESA","MINISTRO BRIN","CALLE",104.29,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"447","LINESTRING (-58.3685865541726 -34.6334610727682,-58.3685879332255 -34.6336719913418,-58.3684762675575 -34.6343940945015)",18506,8010,"HERNANDARIAS",502,600,501,599,"","HERNANDARIAS","CALLE",104.16,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"448","LINESTRING (-58.3684762675575 -34.6343940945015,-58.369873908878 -34.6345246813639,-58.3701099624575 -34.6345563411218)",18551,23064,"VILLAFAÑE, WENCESLAO",1102,1200,1101,1199,"ALEGRIA","WENCESLAO VILLAFAÑE","CALLE",150.9,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"449","LINESTRING (-58.3548967923006 -34.6337339721833,-58.354420400335 -34.6345499638638)",18555,3242,"CABOTO",1202,1300,1201,1299,"GABOTO","CABOTO","CALLE",100.51,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"450","LINESTRING (-58.3593753594823 -34.6344925254059,-58.3606050309504 -34.6349913884919,-58.3608716592682 -34.6351004869439)",18705,2110,"BRANDSEN",402,500,401,499,"","BRANDSEN","CALLE",152.89,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"451","LINESTRING (-58.3581076166813 -34.6350075701171,-58.3586883911497 -34.6352403957138,-58.3588891946032 -34.6353199347046)",18765,20118,"SUAREZ",352,400,351,399,"","SUAREZ","CALLE",79.61,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"452","LINESTRING (-58.3661041433487 -34.6351174452165,-58.3669268998852 -34.6352126764499)",18740,4057,"VALLE, ARISTOBULO DEL",902,1000,901,999,"INDUSTRIA","ARISTOBULO DEL VALLE","CALLE",76.18,"DOBLE",2,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"453","LINESTRING (-58.3634839484296 -34.6351368080631,-58.3641903470941 -34.635422527603)",18791,17088,"PINZON",702,800,701,799,"","PINZON","CALLE",72.11,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"454","LINESTRING (-58.3646863169258 -34.6346172883728,-58.3645679168244 -34.6348094478929,-58.3641903470941 -34.635422527603)",18792,4059,"VALLE IBERLUCEA del, Dr.",702,800,701,799,"DEL CRUCERO","DR.DEL VALLE IBERLUCEA","CALLE",100.24,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"455","LINESTRING (-58.3539349474167 -34.6353814385383,-58.3538417435106 -34.6355067785979,-58.3537239126408 -34.6355700536467)",18825,3242,"CABOTO",1402,1430,1401,1429,"GABOTO","CABOTO","CALLE",29.21,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"456","LINESTRING (-58.3608716592682 -34.6351004869439,-58.3619478027761 -34.635540544918,-58.3622761746737 -34.6356749735068)",18856,2110,"BRANDSEN",502,600,501,599,"","BRANDSEN","CALLE",143.69,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"457","LINESTRING (-58.3622761746737 -34.6356749735068,-58.3629766934904 -34.6359618219514)",18931,2110,"BRANDSEN",602,650,601,649,"","BRANDSEN","CALLE",71.68,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"458","LINESTRING (-58.3669268998852 -34.6352126764499,-58.3667664359734 -34.6361220649262)",18978,9015,"IRALA",702,800,701,799,"","IRALA","CALLE",101.95,"CRECIENTE",1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2010","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"459","LINESTRING (-58.361780671964 -34.6364921046729,-58.3619325119664 -34.636553780815,-58.3626050245163 -34.6368248332895)",19165,20118,"SUAREZ",602,658,601,653,"","SUAREZ","CALLE",84.12,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"460","LINESTRING (-58.3629766934904 -34.6359618219514,-58.3635216298879 -34.636185017479,-58.3636899133546 -34.6362476908128)",19011,2110,"BRANDSEN",652,700,651,699,"","BRANDSEN","CALLE",72.69,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"461","LINESTRING (-58.3683246021838 -34.6353744081546,-58.36818143073 -34.636299938853)",19033,8010,"HERNANDARIAS",702,800,701,799,"","HERNANDARIAS","CALLE",103.51,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"462","LINESTRING (-58.3551622328283 -34.6358655654029,-58.3566258480908 -34.6364429158265)",19066,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",202,300,201,299,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",148.71,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"463","LINESTRING (-58.36818143073 -34.636299938853,-58.3695997481027 -34.6364834327696,-58.3698082947381 -34.6365081000758)",19091,17088,"PINZON",1102,1200,1101,1199,"","PINZON","CALLE",150.95,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"464","LINESTRING (-58.3551622328283 -34.6358655654029,-58.3547379536006 -34.63663251928)",19116,2114,"BRIN, Ministro",1402,1500,1401,1499,"SANTA TERESA","MINISTRO BRIN","CALLE",93.56,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"465","LINESTRING (-58.3636899133546 -34.6362476908128,-58.3639349297581 -34.6363389478377,-58.3646969486337 -34.6366487239997)",19119,2110,"BRANDSEN",702,800,701,799,"","BRANDSEN","CALLE",102.51,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"466","LINESTRING (-58.3583950136846 -34.6361452927769,-58.3597162696731 -34.6366652295492,-58.3598772205325 -34.6367305779893)",19144,16012,"OLAVARRIA",402,500,401,499,"","OLAVARRIA","CALLE",150.62,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"467","LINESTRING (-58.3626050245163 -34.6368248332895,-58.3631997038792 -34.63706462073)",19232,20118,"SUAREZ",660,700,679,699,"","SUAREZ","CALLE",60.67,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"468","LINESTRING (-58.3598772205325 -34.6367305779893,-58.361295473096 -34.6373059324368)",19310,16012,"OLAVARRIA",502,600,501,599,"","OLAVARRIA","CALLE",144.86,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"469","LINESTRING (-58.361780671964 -34.6364921046729,-58.3616530381649 -34.6367027044783,-58.361295473096 -34.6373059324368)",19311,17011,"PALOS",602,700,601,699,"","PALOS","CALLE",100.65,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"470","LINESTRING (-58.3680438439971 -34.6371819520861,-58.3683075957236 -34.6372132144155,-58.3693930965619 -34.6373477182164,-58.3696743223826 -34.6373732163441)",19324,2110,"BRANDSEN",1102,1200,1101,1199,"","BRANDSEN","CALLE",151.02,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"471","LINESTRING (-58.3631997038792 -34.63706462073,-58.3633535904162 -34.6371266488944,-58.3640793363699 -34.637420906054,-58.3642362153649 -34.6374753298358)",19362,20118,"SUAREZ",702,800,701,799,"","SUAREZ","CALLE",105.42,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"472","LINESTRING (-58.3646969486337 -34.6366487239997,-58.3642362153649 -34.6374753298358)",19363,13137,"FILIBERTO, JUAN DE DIOS",902,1000,901,999,"MOUSSY","JUAN DE DIOS FILIBERTO","CALLE",100.96,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"473","LINESTRING (-58.357911923133 -34.6369517849023,-58.359238964367 -34.6374863798005,-58.3593870584355 -34.6375455910949)",19377,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",402,500,401,499,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",150.45,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"474","LINESTRING (-58.361295473096 -34.6373059324368,-58.361441097605 -34.637364998328,-58.3627069304633 -34.6378800675572)",19459,16012,"OLAVARRIA",602,700,601,699,"","OLAVARRIA","CALLE",144.24,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"475","LINESTRING (-58.3631997038792 -34.63706462073,-58.3627069304633 -34.6378800675572)",19460,4059,"VALLE IBERLUCEA del, Dr.",1002,1100,1001,1099,"DEL CRUCERO","DR.DEL VALLE IBERLUCEA","CALLE",101.12,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"476","LINESTRING (-58.366479259041 -34.6379228392981,-58.3678997569328 -34.6380831150465)",19515,20118,"SUAREZ",1002,1100,1001,1099,"","SUAREZ","CALLE",131.46,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"477","LINESTRING (-58.3680438439971 -34.6371819520861,-58.367953136871 -34.6377481538404,-58.3678997569328 -34.6380831150465)",19516,8010,"HERNANDARIAS",902,1000,901,999,"","HERNANDARIAS","CALLE",100.84,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"478","LINESTRING (-58.3678997569328 -34.6380831150465,-58.3682131804447 -34.6381185009651,-58.3695352840688 -34.6382704414022)",19562,20118,"SUAREZ",1102,1200,1101,1199,"","SUAREZ","CALLE",151.4,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"479","LINESTRING (-58.3627069304633 -34.6378800675572,-58.3628500018988 -34.6379382845788,-58.363764884964 -34.6383209394121)",19590,16012,"OLAVARRIA",702,776,701,775,"","OLAVARRIA","CALLE",108.64,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"480","LINESTRING (-58.3573973787852 -34.6377617688471,-58.3588553027156 -34.6383642285023)",19603,1144,"AYOLAS",402,500,401,499,"","AYOLAS","CALLE",149.46,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"481","LINESTRING (-58.3593870584355 -34.6375455910949,-58.359262323991 -34.6377480921626,-58.3589826736832 -34.6381670822875,-58.3588553027156 -34.6383642285023)",19604,19069,"RODRIGUEZ, MARTIN",1102,1160,1101,1159,"","MARTIN RODRIGUEZ","CALLE",103.09,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"482","LINESTRING (-58.363764884964 -34.6383209394121,-58.3641389061563 -34.6384838511349)",19629,16012,"OLAVARRIA",778,800,777,799,"","OLAVARRIA","CALLE",38.77,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","SI","Paso a Nivel",4,4,4,"BOCA","BOCA","BOCA"
"483","LINESTRING (-58.3641389061563 -34.6384838511349,-58.3646422109009 -34.6385516542672)",19662,16012,"OLAVARRIA",802,830,801,835,"","OLAVARRIA","CALLE",46.76,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"484","LINESTRING (-58.3646422109009 -34.6385516542672,-58.3653101900085 -34.6386415597648,-58.3656389429849 -34.6386840069268)",19697,16012,"OLAVARRIA",832,900,837,899,"","OLAVARRIA","CALLE",92.56,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"485","LINESTRING (-58.3608152960719 -34.638116241215,-58.3620796148376 -34.6386213859628,-58.3622341847859 -34.6386836273623)",19700,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",602,700,601,699,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",144.53,"CRECIENTE",1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2010","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"486","LINESTRING (-58.3627069304633 -34.6378800675572,-58.3625878333896 -34.6380772949352,-58.3622341847859 -34.6386836273623)",19701,4059,"VALLE IBERLUCEA del, Dr.",1102,1200,1101,1199,"DEL CRUCERO","DR.DEL VALLE IBERLUCEA","CALLE",99.13,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"487","LINESTRING (-58.3588553027156 -34.6383642285023,-58.3584784795815 -34.6389471496538)",19774,19069,"RODRIGUEZ, MARTIN",1162,1200,1161,1199,"","MARTIN RODRIGUEZ","CALLE",73.32,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"488","LINESTRING (-58.3663437310573 -34.6387751334269,-58.3677652384505 -34.6389591441337)",19775,16012,"OLAVARRIA",1002,1100,1001,1099,"","OLAVARRIA","CALLE",131.93,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"489","LINESTRING (-58.3608152960719 -34.638116241215,-58.3603025791975 -34.638981239287)",19786,17011,"PALOS",802,900,801,899,"","PALOS","CALLE",106.86,"DECRECIENTE",-1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2015","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"490","LINESTRING (-58.3677652384505 -34.6389591441337,-58.3693958989826 -34.6391702715558)",19845,16012,"OLAVARRIA",1102,1200,1101,1199,"","OLAVARRIA","CALLE",151.34,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"491","LINESTRING (-58.3636781628888 -34.6393056658172,-58.3651623247058 -34.6395402514005)",19954,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",802,900,801,899,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",138.55,"CRECIENTE",1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2010","Ciclovía","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"492","LINESTRING (-58.3661970417058 -34.6396977006841,-58.3664840508166 -34.6397383517426,-58.3676251970971 -34.6398934085416)",20050,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",1002,1100,1001,1099,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",132.74,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"493","LINESTRING (-58.3676251970971 -34.6398934085416,-58.3692497299385 -34.6401141106394)",20100,1163,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",1102,1200,1101,1199,"LAMADRID","GRAL. GREGORIO ARAOZ DE LAMADRID","CALLE",150.95,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"494","LINESTRING (-58.3633059657973 -34.6399633245393,-58.3647651035483 -34.6402566273078)",20142,13010,"MAGALLANES",902,1000,901,999,"","MAGALLANES","CALLE",137.69,"CRECIENTE",1,"Modificación de sentido chequeada en Marzo 2015","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"495","LINESTRING (-58.3647651035483 -34.6402566273078,-58.3657052217147 -34.6404383002626,-58.3660674308447 -34.6405125338608)",20235,13010,"MAGALLANES",1002,1100,1001,1099,"","MAGALLANES","CALLE",122.74,"DECRECIENTE",-1,"corrección numeración 4-2","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"496","LINESTRING (-58.3674886789186 -34.6407990836226,-58.3690949653923 -34.6411211827197)",20387,13010,"MAGALLANES",1202,1300,1201,1299,"","MAGALLANES","CALLE",151.55,"DECRECIENTE",-1,"corrección numeración 4-2","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"497","LINESTRING (-58.3625197918216 -34.6417101566431,-58.3637064762169 -34.6421354307296)",20706,1137,"QUINQUELA MARTIN, BENITO",802,900,801,899,"AUSTRALIA","BENITO QUINQUELA MARTIN","CALLE",118.59,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"498","LINESTRING (-58.3610350970226 -34.6417455407023,-58.3618669239507 -34.6422080701083,-58.3619788948845 -34.6422716144008)",20754,1051,"PALACIOS, ALFREDO L.",702,800,701,799,"ALVARADO","ALFREDO L. PALACIOS","CALLE",104.38,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"499","LINESTRING (-58.3637064762169 -34.6421354307296,-58.3652220067786 -34.6424025061854)",20787,1137,"QUINQUELA MARTIN, BENITO",902,1000,901,999,"AUSTRALIA","BENITO QUINQUELA MARTIN","CALLE",142.08,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"500","LINESTRING (-58.3619788948845 -34.6422716144008,-58.3620923987033 -34.6423360049392,-58.3624754158645 -34.6425409013009)",20801,1051,"PALACIOS, ALFREDO L.",802,836,801,835,"ALVARADO","ALFREDO L. PALACIOS","CALLE",54.45,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","SI","Paso a Nivel",4,4,4,"BOCA","BOCA","BOCA"
"501","LINESTRING (-58.3652220067786 -34.6424025061854,-58.3657616913534 -34.6424947003208)",20812,1137,"QUINQUELA MARTIN, BENITO",1002,1100,1001,1099,"AUSTRALIA","BENITO QUINQUELA MARTIN","CALLE",50.53,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"502","LINESTRING (-58.3659211645728 -34.6414323543523,-58.3658924946675 -34.6416126146228,-58.3657939803913 -34.6422804286428,-58.3657616913534 -34.6424947003208)",20813,9015,"IRALA",1402,1500,1401,1499,"","IRALA","CALLE",118.76,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"503","LINESTRING (-58.3657616913534 -34.6424947003208,-58.3671988681114 -34.6427403503137)",20889,1137,"QUINQUELA MARTIN, BENITO",1102,1200,1101,1199,"AUSTRALIA","BENITO QUINQUELA MARTIN","CALLE",134.56,"DECRECIENTE",-1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"504","LINESTRING (-58.3624754158645 -34.6425409013009,-58.3632461500916 -34.6429442153311)",20946,1051,"PALACIOS, ALFREDO L.",838,900,837,899,"ALVARADO","ALFREDO L. PALACIOS","CALLE",83.64,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"505","LINESTRING (-58.3632461500916 -34.6429442153311,-58.3646715240966 -34.6434431268382)",21085,1051,"PALACIOS, ALFREDO L.",902,1000,901,999,"ALVARADO","ALFREDO L. PALACIOS","CALLE",141.92,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"506","LINESTRING (-58.3646715240966 -34.6434431268382,-58.3656031633923 -34.6435467648774)",21125,1051,"PALACIOS, ALFREDO L.",1002,1100,1001,1099,"ALVARADO","ALFREDO L. PALACIOS","CALLE",86.19,"CRECIENTE",1,"","-","","","","","VÍA LOCAL","","","",4,4,4,"BOCA","BOCA","BOCA"
"507","LINESTRING (-58.3609927543989 -34.6440306641083,-58.3616547693763 -34.6443623470025)",21366,1164,"CALIFORNIA",802,850,801,849,"","CALIFORNIA","CALLE",70.98,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","SI","","",4,4,4,"BOCA","BOCA","BOCA"
