"","WKT","id","codigo","nomoficial","alt_izqini","alt_izqfin","alt_derini","alt_derfin","nomanter","nom_mapa","tipo_c","long","sentido","cod_sent","observa","bicisenda","lado_ciclo","recorrid_x","ciclo_obse","tooltip_bi","red_jerarq","red_tp","ffcc","tipo_ffcc","comuna","com_par","com_impar","barrio","barrio_par","barrio_imp"
"926","LINESTRING (-58.3698784554967 -34.6171663985306,-58.3714752391869 -34.6172040902039,-58.3716705626346 -34.617203532834)",13652,9010,"INDEPENDENCIA AV.",302,400,301,399,"","AV. INDEPENDENCIA","AVENIDA",164.42,"CRECIENTE",1,"","Carriles Preferenciales","","","","Carril preferencial","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"927","LINESTRING (-58.3745373662307 -34.6160871174382,-58.3744529179459 -34.6170781950034,-58.3744426813242 -34.6172519220776)",13666,17071,"PERU",702,800,701,799,"","PERU","CALLE",129.51,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"928","LINESTRING (-58.3759800252477 -34.6162190756999,-58.3759748893755 -34.6163242846015,-58.3759152922577 -34.6173524940719)",13695,3214,"CHACABUCO",702,800,701,799,"","CHACABUCO","CALLE",125.88,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"929","LINESTRING (-58.3610610559839 -34.6160726945703,-58.3609036095128 -34.6174165930276)",13716,1073,"PAINE, AIME",1602,1700,1601,1699,"","AIME PAINE","CALLE",149.78,"DOBLE",2,"corrección numeración 29-1","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"930","LINESTRING (-58.3759152922577 -34.6173524940719,-58.3771343364783 -34.6174356861469,-58.3773618429219 -34.6174511285039)",13729,9010,"INDEPENDENCIA AV.",702,800,701,799,"","AV. INDEPENDENCIA","AVENIDA",133.12,"CRECIENTE",1,"","Carriles Preferenciales","","","","Carril preferencial","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"931","LINESTRING (-58.3597541189749 -34.6177908385674,-58.358171736433 -34.6173390572309,-58.3580818381718 -34.6171610198269)",13834,23485,"VERA PEÑALOZA,  ROSARIO",0,0,601,699,"","ROSARIO VERA PEÑALOZA","BOULEVARD",174.94,"CRECIENTE",1,"corrección númeración 28-1","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"932","LINESTRING (-58.3716705626346 -34.617203532834,-58.3716646417451 -34.6173979673866,-58.3716396874903 -34.6178590810202)",13848,4016,"DEFENSA",802,850,801,849,"","DEFENSA","CALLE",72.78,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"933","LINESTRING (-58.365597010477 -34.6120929103006,-58.3655725414674 -34.6123307811233,-58.3649378877337 -34.6179618205128)",13869,30062,"GORRITI JUANA MANUELA",1202,1700,1201,1699,"","JUANA MANUELA GORRITI","CALLE PEATONAL",653.88,"PEATONAL",0,"Asignación de Sentido de Circulación peatonal según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación peatonal según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"934","LINESTRING (-58.3632871423759 -34.6178330208607,-58.363115943889 -34.6178809054157,-58.3629448775228 -34.6180191416431)",13888,23485,"VERA PEÑALOZA,  ROSARIO",0,0,0,0,"","ROSARIO VERA PEÑALOZA","BOULEVARD",38.51,"CRECIENTE",1,"no corresponde número","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"935","LINESTRING (-58.367433149312 -34.616927878814,-58.3672880731436 -34.618195315339)",13943,1149,"AZOPARDO",802,900,801,899,"","AZOPARDO","CALLE",141.23,"DECRECIENTE",-1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2010","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"936","LINESTRING (-58.3689891343949 -34.6170326844563,-58.3688737169246 -34.6173298523323,-58.3687213020129 -34.6176845872165,-58.3687726577932 -34.6183356313338)",13979,17028,"PASEO COLON AV.",0,0,0,0,"","AV. PASEO COLON","AVENIDA",148.76,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"937","LINESTRING (-58.380278220071 -34.6176377278222,-58.3802544454573 -34.6185016658394)",14028,9019,"IRIGOYEN, BERNARDO de",0,0,0,0,"DEL BUEN ORDEN","BERNARDO DE IRIGOYEN","CALLE",95.87,"DECRECIENTE",-1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
